invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,vat,total,date,time,payment_method,cogs,gross_margin_pct,gross_income,rating
INV-74868034,C,Chicago,Normal,Male,Electronic accessories,168.88,2,16.89,354.65,2024-08-09,11:47,Ewallet,236.43,33.33,118.22,6.2
INV-D0151728,A,New York,Member,Female,Sports and travel,52.5,6,15.75,330.75,2024-12-06,16:55,Ewallet,220.5,33.33,110.25,4.3
INV-F17A81F3,B,Los Angeles,Normal,Female,Electronic accessories,121.91,4,24.38,512.02,2024-03-20,20:30,Cash,341.35,33.33,170.67,9.1
INV-7AC13AB7,B,Los Angeles,Normal,Male,Food and beverages,30.83,7,10.79,226.6,2024-10-14,19:39,Ewallet,151.07,33.33,75.53,7.9
INV-DC959CD0,A,New York,Normal,Male,Fashion accessories,48.26,5,12.06,253.36,2024-06-22,15:00,Cash,168.91,33.33,84.45,9.2
INV-0D3DFE5F,C,Chicago,Normal,Male,Fashion accessories,113.74,1,5.69,119.43,2024-02-16,18:13,Credit card,79.62,33.33,39.81,6.5
INV-98545793,B,Los Angeles,Member,Female,Food and beverages,37.47,10,18.73,393.43,2024-11-01,11:56,Cash,262.29,33.33,131.14,4.9
INV-F084C0B3,C,Chicago,Member,Male,Food and beverages,24.94,7,8.73,183.31,2024-09-05,19:28,Credit card,122.21,33.33,61.1,5.6
INV-BD99A906,C,Chicago,Member,Female,Health and beauty,15.98,10,7.99,167.79,2024-09-06,18:42,Credit card,111.86,33.33,55.93,4.3
INV-C4E34783,B,Los Angeles,Member,Male,Fashion accessories,52.2,4,10.44,219.24,2024-03-11,14:18,Credit card,146.16,33.33,73.08,4.7
INV-0A357A7C,B,Los Angeles,Normal,Male,Fashion accessories,63.23,4,12.65,265.57,2024-09-13,18:53,Ewallet,177.04,33.34,88.53,8.8
INV-13106256,A,New York,Normal,Male,Health and beauty,9.35,2,0.94,19.64,2024-06-09,19:27,Ewallet,13.09,33.35,6.55,6.4
INV-45263186,C,Chicago,Normal,Female,Electronic accessories,89.93,6,26.98,566.56,2024-03-28,19:29,Ewallet,377.71,33.33,188.85,9.5
INV-BCC76F9B,A,New York,Normal,Male,Fashion accessories,70.99,7,24.85,521.78,2024-09-25,11:25,Credit card,347.85,33.33,173.93,8.5
INV-1A2E58B9,A,New York,Normal,Male,Electronic accessories,109.44,2,10.94,229.82,2024-09-28,18:12,Credit card,153.22,33.33,76.6,6.1
INV-C29A9AB9,C,Chicago,Member,Male,Electronic accessories,42.09,4,8.42,176.78,2024-03-29,19:09,Ewallet,117.85,33.34,58.93,4.5
INV-7A0B91F8,C,Chicago,Normal,Female,Home and lifestyle,232.77,8,93.11,1955.27,2024-12-14,19:41,Ewallet,1303.51,33.33,651.76,9.9
INV-C4231605,B,Los Angeles,Normal,Male,Health and beauty,12.92,8,5.17,108.53,2024-11-19,14:50,Credit card,72.35,33.34,36.18,7.5
INV-48BC1105,B,Los Angeles,Member,Female,Health and beauty,40.54,1,2.03,42.57,2024-07-07,14:04,Ewallet,28.38,33.33,14.19,9.2
INV-0EBCC16F,A,New York,Normal,Female,Home and lifestyle,175.21,1,8.76,183.97,2024-08-18,19:41,Cash,122.65,33.33,61.32,5.9
INV-B6699F0B,B,Los Angeles,Member,Male,Health and beauty,15.45,6,4.63,97.33,2024-12-31,11:32,Ewallet,64.89,33.33,32.44,5.0
INV-5879C90F,A,New York,Normal,Female,Home and lifestyle,166.37,3,24.96,524.07,2024-07-05,15:58,Credit card,349.38,33.33,174.69,6.3
INV-B05654A2,B,Los Angeles,Member,Female,Electronic accessories,75.99,9,34.2,718.11,2024-12-13,16:18,Credit card,478.74,33.33,239.37,8.3
INV-8CE190D7,C,Chicago,Member,Female,Electronic accessories,122.81,3,18.42,386.85,2024-06-28,14:41,Ewallet,257.9,33.33,128.95,8.0
INV-F4C3CF2C,A,New York,Member,Female,Home and lifestyle,125.47,6,37.64,790.46,2024-03-06,20:44,Ewallet,526.97,33.33,263.49,10.0
INV-4FD8A5AC,C,Chicago,Member,Female,Home and lifestyle,121.31,6,36.39,764.25,2024-06-07,12:13,Credit card,509.5,33.33,254.75,9.7
INV-FD71EBD2,B,Los Angeles,Member,Male,Fashion accessories,31.69,5,7.92,166.37,2024-02-21,18:49,Ewallet,110.92,33.33,55.45,9.0
INV-E1AFBADD,C,Chicago,Member,Female,Home and lifestyle,56.69,7,19.84,416.67,2024-03-19,12:11,Ewallet,277.78,33.33,138.89,8.6
INV-AD680B42,A,New York,Normal,Male,Health and beauty,34.23,4,6.85,143.77,2024-08-15,19:18,Ewallet,95.84,33.34,47.93,8.7
INV-7CD6F760,A,New York,Member,Female,Health and beauty,73.09,4,14.62,306.98,2024-07-07,20:36,Credit card,204.65,33.33,102.33,6.8
INV-506197EC,B,Los Angeles,Normal,Female,Fashion accessories,124.36,10,62.18,1305.78,2024-03-11,14:03,Ewallet,870.52,33.33,435.26,6.9
INV-1CA9E9A6,B,Los Angeles,Member,Male,Food and beverages,8.77,3,1.32,27.63,2024-05-19,17:57,Ewallet,18.42,33.33,9.21,4.9
INV-699BD17C,B,Los Angeles,Member,Male,Health and beauty,71.69,1,3.58,75.27,2024-07-31,10:25,Ewallet,50.18,33.33,25.09,6.2
INV-63106156,B,Los Angeles,Member,Female,Fashion accessories,13.95,2,1.4,29.3,2024-12-31,20:21,Cash,19.53,33.34,9.77,4.8
INV-8975E427,B,Los Angeles,Normal,Male,Sports and travel,130.55,10,65.28,1370.78,2024-01-03,11:01,Credit card,913.85,33.33,456.93,5.3
INV-09DA221B,A,New York,Normal,Male,Food and beverages,15.69,2,1.57,32.95,2024-01-25,13:26,Ewallet,21.97,33.32,10.98,8.8
INV-A7ADEAFB,B,Los Angeles,Member,Male,Health and beauty,50.97,1,2.55,53.52,2024-11-19,18:36,Cash,35.68,33.33,17.84,8.3
INV-A6B99B1C,B,Los Angeles,Normal,Male,Home and lifestyle,118.79,10,59.4,1247.3,2024-08-01,12:42,Ewallet,831.53,33.33,415.77,4.5
INV-3422E0B0,B,Los Angeles,Member,Male,Health and beauty,70.88,1,3.54,74.42,2024-11-21,16:23,Credit card,49.62,33.32,24.8,8.5
INV-E1E60E87,B,Los Angeles,Member,Female,Fashion accessories,112.61,2,11.26,236.48,2024-10-24,15:08,Cash,157.65,33.33,78.83,6.1
INV-0BFA5AD1,B,Los Angeles,Member,Female,Sports and travel,132.67,3,19.9,417.91,2024-03-10,11:45,Credit card,278.61,33.33,139.3,4.2
INV-05EE6A4D,A,New York,Member,Male,Electronic accessories,73.39,5,18.35,385.3,2024-09-20,16:52,Ewallet,256.86,33.34,128.44,6.8
INV-BA9CD17A,A,New York,Member,Female,Food and beverages,43.8,1,2.19,45.99,2024-12-01,15:17,Cash,30.66,33.33,15.33,8.8
INV-53D30118,B,Los Angeles,Normal,Female,Health and beauty,32.41,3,4.86,102.09,2024-09-11,17:23,Ewallet,68.06,33.33,34.03,5.6
INV-D0566BBB,A,New York,Normal,Male,Health and beauty,51.38,3,7.71,161.85,2024-10-06,14:20,Cash,107.9,33.33,53.95,4.5
INV-4D37B58A,C,Chicago,Normal,Female,Health and beauty,51.39,7,17.99,377.72,2024-03-26,17:22,Credit card,251.81,33.33,125.91,4.3
INV-B6A9FF52,B,Los Angeles,Normal,Female,Sports and travel,245.51,1,12.28,257.79,2024-02-08,20:40,Credit card,171.86,33.33,85.93,6.2
INV-F6144A1B,C,Chicago,Member,Male,Fashion accessories,128.81,8,51.52,1082.0,2024-01-18,12:04,Cash,721.34,33.33,360.66,8.7
INV-AE7B57B2,B,Los Angeles,Normal,Female,Home and lifestyle,29.07,3,4.36,91.57,2024-12-13,17:23,Credit card,61.05,33.33,30.52,6.7
INV-FA316EBA,A,New York,Member,Female,Health and beauty,30.64,5,7.66,160.86,2024-05-07,11:01,Ewallet,107.24,33.33,53.62,5.1
INV-AE0FB5E5,C,Chicago,Normal,Male,Food and beverages,39.87,8,15.95,334.91,2024-04-19,19:18,Ewallet,223.27,33.33,111.64,9.5
INV-FDFF0052,B,Los Angeles,Member,Male,Fashion accessories,129.4,8,51.76,1086.96,2024-03-29,17:05,Ewallet,724.64,33.33,362.32,9.8
INV-FC4550F5,B,Los Angeles,Normal,Male,Home and lifestyle,171.81,5,42.95,902.0,2024-03-21,20:11,Credit card,601.33,33.33,300.67,7.1
INV-30B08B79,A,New York,Member,Male,Fashion accessories,120.65,1,6.03,126.68,2024-07-03,18:36,Credit card,84.45,33.34,42.23,6.8
